participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
2_2,12_inc,incongruent,entertainment,Coda,1799,574,1225,7671,0,0,1,2,0,1,8853,1,21840
2_2,6_inc,incongruent,entertainment,Context,9767,9767,,9767,0,0,0,0,0,1,3305,1,15293
2_2,6_inc,incongruent,entertainment,Target,2109,2109,,2109,0,0,0,0,0,1,3305,1,15293
2_2,6_inc,incongruent,entertainment,Spillover,1819,1819,,1819,0,0,0,0,0,1,3305,1,15293
2_2,6_inc,incongruent,entertainment,Coda,1598,1598,,1598,0,0,0,0,0,1,3305,1,15293
2_2,1_cong,congruent,entertainment,Context,8852,8577,275,8577,1,1,0,0,0,1,3990,1,15988
2_2,1_cong,congruent,entertainment,Target,1979,1621,358,1621,1,1,0,0,0,1,3990,1,15988
2_2,1_cong,congruent,entertainment,Spillover,2882,1960,922,3240,0,0,1,1,0,1,3990,1,15988
2_2,1_cong,congruent,entertainment,Coda,2275,2275,,2550,0,0,1,1,0,1,3990,1,15988
2_2,16_inc,incongruent,fact_check,Context,9087,8985,102,8985,1,1,0,0,0,0,6594,2,14629
2_2,16_inc,incongruent,fact_check,Target,2547,2277,270,2277,1,1,0,0,0,0,6594,2,14629
2_2,16_inc,incongruent,fact_check,Spillover,1671,138,1533,1941,0,0,1,1,0,0,6594,2,14629
2_2,16_inc,incongruent,fact_check,Coda,1324,1324,,1426,0,0,1,1,0,0,6594,2,14629
2_2,14_inc,incongruent,fact_check,Context,20788,15409,691,15409,1,3,0,0,0,0,4554,2,32179
2_2,14_inc,incongruent,fact_check,Target,3412,731,1286,2708,1,1,1,1,0,0,4554,2,32179
2_2,14_inc,incongruent,fact_check,Spillover,3992,2238,320,2649,0,0,1,1,0,0,4554,2,32179
2_2,14_inc,incongruent,fact_check,Coda,3987,2679,1308,11413,0,0,1,2,0,0,4554,2,32179
2_2,20_inc,incongruent,fact_check,Context,8184,8184,,8184,0,0,0,0,0,1,5905,2,14383
2_2,20_inc,incongruent,fact_check,Target,1918,1918,,1918,0,0,0,0,0,1,5905,2,14383
2_2,20_inc,incongruent,fact_check,Spillover,2069,2069,,2069,0,0,0,0,0,1,5905,2,14383
2_2,20_inc,incongruent,fact_check,Coda,2212,2212,,2212,0,0,0,0,0,1,5905,2,14383
2_2,13_cong,congruent,fact_check,Context,8101,8101,,8101,0,0,0,0,0,1,3293,2,13738
2_2,13_cong,congruent,fact_check,Target,1898,1898,,1898,0,0,0,0,0,1,3293,2,13738
2_2,13_cong,congruent,fact_check,Spillover,1952,1952,,1952,0,0,0,0,0,1,3293,2,13738
2_2,13_cong,congruent,fact_check,Coda,1787,1787,,1787,0,0,0,0,0,1,3293,2,13738
2_2,17_cong,congruent,fact_check,Context,13370,13127,243,13127,1,1,0,0,0,1,2777,2,17539
2_2,17_cong,congruent,fact_check,Target,1574,174,1400,1817,0,0,1,1,0,1,2777,2,17539
2_2,17_cong,congruent,fact_check,Spillover,1734,1734,,1734,0,0,0,0,0,1,2777,2,17539
2_2,17_cong,congruent,fact_check,Coda,861,861,,861,0,0,0,0,0,1,2777,2,17539
2_2,23_cong,congruent,fact_check,Context,15490,15490,,15490,0,0,0,0,0,1,3033,2,20644
2_2,23_cong,congruent,fact_check,Target,1586,1586,,1586,0,0,0,0,0,1,3033,2,20644
2_2,23_cong,congruent,fact_check,Spillover,1763,1763,,1763,0,0,0,0,0,1,3033,2,20644
2_2,23_cong,congruent,fact_check,Coda,1805,1805,,1805,0,0,0,0,0,1,3033,2,20644
2_2,15_cong,congruent,fact_check,Context,11840,11840,,11840,0,0,0,0,0,1,3237,2,16615
2_2,15_cong,congruent,fact_check,Target,1452,1452,,1452,0,0,0,0,0,1,3237,2,16615
2_2,15_cong,congruent,fact_check,Spillover,1673,1484,189,1484,1,1,0,0,0,1,3237,2,16615
2_2,15_cong,congruent,fact_check,Coda,1650,113,1537,1839,0,0,1,1,0,1,3237,2,16615
2_2,21_cong,congruent,fact_check,Context,14116,11654,2462,11654,1,1,0,0,0,0,4788,2,18139
2_2,21_cong,congruent,fact_check,Target,1934,1934,,1934,0,0,0,0,0,0,4788,2,18139
2_2,21_cong,congruent,fact_check,Spillover,1060,1060,,1060,0,0,0,0,0,0,4788,2,18139
2_2,21_cong,congruent,fact_check,Coda,1029,1029,,3491,0,0,1,1,0,0,4788,2,18139
2_2,22_inc,incongruent,fact_check,Context,11598,11116,333,11116,1,2,0,0,0,1,3454,2,15187
2_2,22_inc,incongruent,fact_check,Target,920,99,821,1253,0,0,1,1,0,1,3454,2,15187
2_2,22_inc,incongruent,fact_check,Spillover,1434,595,839,1583,0,0,1,1,0,1,3454,2,15187
2_2,22_inc,incongruent,fact_check,Coda,1235,1235,,1235,0,0,0,0,0,1,3454,2,15187
2_2,19_cong,congruent,fact_check,Context,24561,18850,5711,18850,1,1,0,0,0,1,2437,2,30659
2_2,19_cong,congruent,fact_check,Target,2604,1839,765,1839,0,0,0,0,0,1,2437,2,30659
